"","symbol","date","close","volume","name","gics_sector","gics_sub_industry","headquarters","key_people","number_of_employees"
"1","AAPL",2021-07-06,142.020004,108181800,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"2","AAPL",2021-07-07,144.570007,104911600,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"3","AAPL",2021-07-08,143.240005,105575500,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"4","AAPL",2021-07-09,145.110001,99890800,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"5","AAPL",2021-07-12,144.5,76299700,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"6","AAPL",2021-07-13,145.639999,100827100,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"7","AAPL",2021-07-14,149.149994,127050800,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"8","AAPL",2021-07-15,148.479996,106820300,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"9","AAPL",2021-07-16,146.389999,93251400,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"10","AAPL",2021-07-19,142.449997,121434600,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"11","AAPL",2021-07-20,146.149994,96350000,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"12","AAPL",2021-07-21,145.399994,74993500,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"13","AAPL",2021-07-22,146.800003,77338200,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
